feature,importance_mean_EUR_MAE_increase,importance_std
capacity_utilization,1.6017421198071458,6.224982397616949
storage_utilization,-10.693714721208348,15.496185110919326
transport_cost_per_L,-17.48545373710879,15.306558386575643
Milk_Collection_L,-103.47554866033515,49.58457268138686
demand_gap,-108.69337365458294,54.066073564798394
electricity_cost_per_L,-119.87432897196412,55.159702022500625
Product_Type,-295.5758657861417,92.21669444982189
Market_Price_EUR_per_L,-361.97076936639917,108.52313113081642
milk_quality_index,-531.4242396593347,149.53992404574902
