,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
milk_quality_index,0.18146348001204124,0.6555233828607517,0.3736433872707415,0.585625920064764,0.12480491041510579,0.18533818200731608,-0.06298525317413545,-0.029989187233928516
capacity_utilization,0.4010756533366712,-0.16145343311688026,0.17517577841110904,-0.3235895501266825,0.2481432396724518,0.6133233445711328,-0.3573750465267114,0.33498782466110333
storage_utilization,0.41589821446481956,-0.07291582291574081,0.0395796226069563,-0.1542062769049525,0.2447984881955126,0.18432232722968392,0.5632980550446872,-0.6206126945652958
demand_gap,-0.20404269336638264,0.6245491719739843,-0.5514226167417253,-0.3736113082526147,-0.07895306098274733,0.33834240226711754,0.03209018414772217,-0.053978257037599175
transport_cost_per_L,-0.393849862406069,0.08336919267456724,0.08320730513497591,-0.13688876144753548,0.871429101967886,-0.19211882150872578,0.06307539635517537,0.10951277549776979
electricity_cost_per_L,-0.3616759588142946,0.12740382805789058,0.6812260659961994,-0.39925545852307887,-0.31108276126056994,0.12801279570735447,0.326885586007436,0.09731877876897559
Market_Price_EUR_per_L,0.37009658305918924,0.31702641342013105,0.1850513317908646,-0.4571243268973683,-0.022857512184328504,-0.5650066814694137,-0.39833395397566884,-0.20221565692277588
Milk_Collection_L,0.41073822091161893,0.15860514971354214,-0.13723779730399374,-0.0431392500340991,-0.0022696489748625587,-0.2617335749560199,0.5296025154889105,0.6606473132363724
